date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:20:34	6654/6654	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2002:13:08%20GMT	https://unisat.io/robots.txt		(from )
05:20:34	32156/32156	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202024%2002:13:08%20GMT	https://unisat.io/	C:/My%20Web%20Sites/unni/unisat.io/index.html	(from )
05:20:36	203786/203786	---M-Z	200	added ('OK')	text/css	etag:%227c8b27aa72cf6dbfa7f34a4cde84ecba%22	https://next-cdn.unisat.io/_/304/_next/static/css/79ebc5af12256d69.css	C:/My%20Web%20Sites/unni/next-cdn.unisat.io/_/304/_next/static/css/79ebc5af12256d69.css	(from https://unisat.io/)
05:20:36	11106/11106	---M-Z	200	added ('OK')	text/css	etag:%221c6fd0488a7b39e2314116c5595840a4%22	https://next-cdn.unisat.io/_/304/_next/static/css/a04c3b7eb9d41f57.css	C:/My%20Web%20Sites/unni/next-cdn.unisat.io/_/304/_next/static/css/a04c3b7eb9d41f57.css	(from https://unisat.io/)
05:20:37	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:%22837c0df77fd5009c9e46d446188ecfd0%22	https://next-cdn.unisat.io/_/304/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/unni/next-cdn.unisat.io/_/304/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://unisat.io/)
05:20:37	4002/4002	---M-Z	200	added ('OK')	application/javascript	etag:%222b06fd2c836c08abedf43560918092f1%22	https://next-cdn.unisat.io/_/304/_next/static/chunks/webpack-167804251c8da866.js	C:/My%20Web%20Sites/unni/next-cdn.unisat.io/_/304/_next/static/chunks/webpack-167804251c8da866.js	(from https://unisat.io/)
05:20:37	141075/141075	---M-Z	200	added ('OK')	application/javascript	etag:%227139a33e17faa89b1ea96aeb70592ad5%22	https://next-cdn.unisat.io/_/304/_next/static/chunks/framework-ce84985cd166733a.js	C:/My%20Web%20Sites/unni/next-cdn.unisat.io/_/304/_next/static/chunks/framework-ce84985cd166733a.js	(from https://unisat.io/)
05:20:38	93734/93734	---M-Z	200	added ('OK')	application/javascript	etag:%22eec4ca1396a1177097944bc346889fd7%22	https://next-cdn.unisat.io/_/304/_next/static/chunks/main-45b6fe0c5c2d41a4.js	C:/My%20Web%20Sites/unni/next-cdn.unisat.io/_/304/_next/static/chunks/main-45b6fe0c5c2d41a4.js	(from https://unisat.io/)
05:20:39	1127327/1127327	---M-Z	200	added ('OK')	application/javascript	etag:%22bf8c5252fcd92c122cc19cbd03b2e6d0%22	https://next-cdn.unisat.io/_/304/_next/static/chunks/pages/_app-ffab532970c05a2a.js	C:/My%20Web%20Sites/unni/next-cdn.unisat.io/_/304/_next/static/chunks/pages/_app-ffab532970c05a2a.js	(from https://unisat.io/)
05:20:39	7542/7542	---M-Z	200	added ('OK')	application/javascript	etag:%225e3f47f5911e7c5c1ba606a69859edfe%22	https://next-cdn.unisat.io/_/304/_next/static/chunks/3791-d31086d2a9982969.js	C:/My%20Web%20Sites/unni/next-cdn.unisat.io/_/304/_next/static/chunks/3791-d31086d2a9982969.js	(from https://unisat.io/)
